Time,Open,High,Low,Close,Volume,candlestick_pattern,candlestick_pattern_type
2020-01-01 00:00:00,128.54,128.54,128.2,128.31,392.82360191,NO_PATTERN,NO_PATTERN
2020-01-01 00:15:00,128.31,128.43,128.25,128.28,390.346585,NO_PATTERN,NO_PATTERN
2020-01-01 00:30:00,128.29,128.5,128.25,128.29,501.59428338,NO_PATTERN,NO_PATTERN
2020-01-01 00:45:00,128.29,128.35,128.12,128.34,625.47498446,NO_PATTERN,NO_PATTERN
2020-01-01 01:00:00,128.33,128.5,128.32,128.49,482.12332701,NO_PATTERN,NO_PATTERN
2020-01-01 01:15:00,128.49,129.98,128.46,129.81,1977.35098208,NO_PATTERN,NO_PATTERN
2020-01-01 01:30:00,129.8,130.08,129.71,129.85,700.39510649,NO_PATTERN,NO_PATTERN
2020-01-01 01:45:00,129.83,130.14,129.22,130.14,1756.39172513,NO_PATTERN,NO_PATTERN
2020-01-01 02:00:00,130.23,130.5,129.91,129.98,1115.71479418,NO_PATTERN,NO_PATTERN
2020-01-01 02:15:00,129.98,130.35,129.98,130.35,852.73943021,NO_PATTERN,NO_PATTERN
2020-01-01 02:30:00,130.35,130.5,130.05,130.2,884.4140907999999,NO_PATTERN,NO_PATTERN
2020-01-01 02:45:00,130.19,130.4,130.19,130.37,191.87752061,CDLENGULFING,Bullish
2020-01-01 03:00:00,130.38,130.44,129.38,129.65,594.4932288699999,CDLENGULFING,Bearish
2020-01-01 03:15:00,129.65,129.93,129.64,129.93,279.4625444,NO_PATTERN,NO_PATTERN
2020-01-01 03:30:00,129.92,129.92,129.56,129.63,813.28429771,NO_PATTERN,NO_PATTERN
2020-01-01 03:45:00,129.63,129.86,129.46,129.57,2141.83906967,CDLDOJI,Neutral
2020-01-01 04:00:00,129.58,129.9,129.5,129.71,3411.00956378,NO_PATTERN,NO_PATTERN
2020-01-01 04:15:00,129.72,129.75,129.55,129.58,316.52802249,NO_PATTERN,NO_PATTERN
2020-01-01 04:30:00,129.58,130.0,129.52,129.94,1072.5511359500001,NO_PATTERN,NO_PATTERN
2020-01-01 04:45:00,129.94,130.0,129.55,129.56,616.77992677,NO_PATTERN,NO_PATTERN
2020-01-01 05:00:00,129.55,129.85,129.47,129.57,964.00059165,CDLDOJI,Neutral
2020-01-01 05:15:00,129.61,129.88,129.61,129.87,292.06461175,NO_PATTERN,NO_PATTERN
2020-01-01 05:30:00,129.86,129.89,129.83,129.84,224.79700834,CDLHARAMI,Bear
2020-01-01 05:45:00,129.84,129.94,129.76,129.83,308.86561505000003,CDLDOJI,Neutral
2020-01-01 06:00:00,129.83,130.18,129.82,130.08,400.17844407,NO_PATTERN,NO_PATTERN
2020-01-01 06:15:00,130.07,130.18,129.95,130.16,146.22694821000002,NO_PATTERN,NO_PATTERN
2020-01-01 06:30:00,130.17,130.25,130.16,130.24,155.14602083,NO_PATTERN,NO_PATTERN
2020-01-01 06:45:00,130.24,130.24,129.87,130.0,208.16687360999998,NO_PATTERN,NO_PATTERN
2020-01-01 07:00:00,130.0,130.08,129.99,130.08,176.86363278000002,NO_PATTERN,NO_PATTERN
2020-01-01 07:15:00,130.15,130.25,130.06,130.21,235.85907899,NO_PATTERN,NO_PATTERN
2020-01-01 07:30:00,130.21,130.22,129.89,129.89,211.95950593999999,NO_PATTERN,NO_PATTERN
2020-01-01 07:45:00,129.86,129.92,129.8,129.87,241.54362414,CDLDOJI,Neutral
2020-01-01 08:00:00,129.87,129.88,129.81,129.82,260.73390464,NO_PATTERN,NO_PATTERN
