Time,Open,High,Low,Close,Volume,candlestick_pattern,candlestick_pattern_type
2020-01-01 00:00:00,128.54,132.68,128.12,130.19,57512.49500629,NO_PATTERN,NO_PATTERN
2020-01-02 00:00:00,130.14,130.18,125.83,126.81,49206.30900924,NO_PATTERN,NO_PATTERN
2020-01-03 00:00:00,126.81,134.93,125.52,134.17,88633.2954993,NO_PATTERN,NO_PATTERN
2020-01-04 00:00:00,134.17,135.75,132.5,134.14,31254.84712421,NO_PATTERN,NO_PATTERN
2020-01-05 00:00:00,134.14,138.97,134.14,135.31,45353.69311227,NO_PATTERN,NO_PATTERN
2020-01-06 00:00:00,135.31,144.51,134.78,144.19,91229.97084601,NO_PATTERN,NO_PATTERN
2020-01-07 00:00:00,144.2,145.25,138.79,143.08,96251.59099995,NO_PATTERN,NO_PATTERN
2020-01-08 00:00:00,143.08,148.0,137.03,140.6,101681.00459557,NO_PATTERN,NO_PATTERN
2020-01-09 00:00:00,140.64,141.38,135.12,137.71,61184.99933797,NO_PATTERN,NO_PATTERN
2020-01-10 00:00:00,137.72,145.81,135.26,144.72,137616.75456324,NO_PATTERN,NO_PATTERN
2020-01-11 00:00:00,144.89,148.0,142.0,142.63,52850.508767549996,NO_PATTERN,NO_PATTERN
2020-01-12 00:00:00,142.51,146.6,141.83,146.6,35450.66532334,CDLENGULFING,Bullish
2020-01-13 00:00:00,146.55,147.0,142.1,143.51,44072.65864059,CDLHARAMI,Bearish
2020-01-14 00:00:00,143.5,170.83,143.45,165.76,258133.69098872,CDLENGULFING,Bullish
2020-01-15 00:00:00,165.74,172.18,159.13,166.29,165116.71336398,CDLDOJI,Neutral
2020-01-16 00:00:00,166.27,167.28,158.17,163.93,87982.82232401,NO_PATTERN,NO_PATTERN
2020-01-17 00:00:00,164.0,174.52,162.01,169.59,134726.53193928,NO_PATTERN,NO_PATTERN
2020-01-18 00:00:00,169.54,179.32,164.92,174.06,112929.82264278,NO_PATTERN,NO_PATTERN
2020-01-19 00:00:00,174.05,178.0,161.7,166.75,113394.95412623,NO_PATTERN,NO_PATTERN
2020-01-20 00:00:00,166.67,169.3,161.1,166.68,66333.85778956,CDLDOJI,Neutral
2020-01-21 00:00:00,166.66,170.0,164.28,169.19,61518.4955582,NO_PATTERN,NO_PATTERN
2020-01-22 00:00:00,169.29,171.05,165.65,167.68,49451.49530672,NO_PATTERN,NO_PATTERN
2020-01-23 00:00:00,167.73,167.79,158.44,162.4,69309.04423236,NO_PATTERN,NO_PATTERN
2020-01-24 00:00:00,162.49,164.21,154.48,162.3,88321.18404046,CDLDOJI,Neutral
2020-01-25 00:00:00,162.31,162.41,157.4,160.12,36677.5237579,NO_PATTERN,NO_PATTERN
2020-01-26 00:00:00,160.0,167.59,159.09,167.35,44653.7353865,CDLENGULFING,Bullish
2020-01-27 00:00:00,167.58,171.7,164.89,169.77,84432.06433437,NO_PATTERN,NO_PATTERN
2020-01-28 00:00:00,169.78,176.5,169.78,175.99,101690.73804689,NO_PATTERN,NO_PATTERN
2020-01-29 00:00:00,175.91,178.31,173.13,173.45,85138.31142655,CDLHARAMI,Bearish
2020-01-30 00:00:00,173.41,186.89,170.0,184.55,104419.50045369,CDLENGULFING,Bullish
2020-01-31 00:00:00,184.52,185.68,175.0,179.74,108383.22294968,NO_PATTERN,NO_PATTERN
2020-02-01 00:00:00,179.72,184.2,179.0,183.5,65637.39246295,NO_PATTERN,NO_PATTERN
2020-02-02 00:00:00,183.49,193.52,178.98,188.29,95753.49581175,NO_PATTERN,NO_PATTERN
2020-02-03 00:00:00,188.22,195.21,186.25,189.42,88925.00968122,NO_PATTERN,NO_PATTERN
2020-02-04 00:00:00,189.41,191.37,184.29,188.24,89026.27327751,NO_PATTERN,NO_PATTERN
2020-02-05 00:00:00,188.25,207.93,186.89,204.0,143760.05902406,NO_PATTERN,NO_PATTERN
2020-02-06 00:00:00,204.01,216.49,200.54,212.95,161310.89381992,NO_PATTERN,NO_PATTERN
2020-02-07 00:00:00,212.94,224.78,212.94,223.22,161446.49677028,NO_PATTERN,NO_PATTERN
2020-02-08 00:00:00,223.22,228.4,213.24,223.37,137185.35526624,CDLDOJI,Neutral
2020-02-09 00:00:00,223.36,230.9,223.16,228.8,111075.28715673,NO_PATTERN,NO_PATTERN
2020-02-10 00:00:00,228.8,229.6,216.31,222.85,106282.13835032,NO_PATTERN,NO_PATTERN
2020-02-11 00:00:00,222.86,239.92,217.83,237.98,174303.17571264,NO_PATTERN,NO_PATTERN
2020-02-12 00:00:00,237.99,276.15,237.95,266.49,292514.45877924,NO_PATTERN,NO_PATTERN
2020-02-13 00:00:00,266.63,278.01,253.75,268.42,263604.57939938,NO_PATTERN,NO_PATTERN
2020-02-14 00:00:00,268.37,287.98,260.13,286.27,191226.69884818,NO_PATTERN,NO_PATTERN
2020-02-15 00:00:00,285.95,290.0,261.35,264.92,250141.72097876001,NO_PATTERN,NO_PATTERN
2020-02-16 00:00:00,264.83,274.0,236.37,258.5,248222.53436814,NO_PATTERN,NO_PATTERN
2020-02-17 00:00:00,258.58,269.0,242.36,268.03,204489.97002411,NO_PATTERN,NO_PATTERN
2020-02-18 00:00:00,268.2,286.87,259.24,283.31,211308.79084916,NO_PATTERN,NO_PATTERN
2020-02-19 00:00:00,283.34,287.13,250.0,258.66,239482.35027819,CDLENGULFING,Bearish
2020-02-20 00:00:00,258.51,264.26,245.25,257.4,202384.44517298,CDLDOJI,Neutral
2020-02-21 00:00:00,257.2,268.71,254.1,265.8,136510.21631018,CDLENGULFING,Bullish
2020-02-22 00:00:00,265.79,267.04,256.3,262.08,63793.80023075,NO_PATTERN,NO_PATTERN
2020-02-23 00:00:00,261.94,276.62,261.53,275.48,104298.84248671,CDLENGULFING,Bullish
2020-02-24 00:00:00,275.48,278.13,256.06,265.31,196813.84593053,NO_PATTERN,NO_PATTERN
2020-02-25 00:00:00,265.53,266.24,244.44,246.5,152398.19815775,NO_PATTERN,NO_PATTERN
2020-02-26 00:00:00,246.28,250.84,215.33,223.5,403791.39025979,NO_PATTERN,NO_PATTERN
2020-02-27 00:00:00,223.78,239.0,209.26,227.63,341664.30152946,CDLHARAMI,Bullish
2020-02-28 00:00:00,227.6,234.9,213.63,227.37,256674.43018092,CDLDOJI,Neutral
2020-02-29 00:00:00,227.13,233.32,216.83,217.31,92955.31635766,NO_PATTERN,NO_PATTERN
2020-03-01 00:00:00,217.36,227.99,211.5,217.26,144247.50619388,CDLDOJI,Neutral
2020-03-02 00:00:00,217.34,234.5,215.75,232.12,188750.56215559,NO_PATTERN,NO_PATTERN
2020-03-03 00:00:00,232.12,232.92,220.0,223.75,173909.62608277999,NO_PATTERN,NO_PATTERN
2020-03-04 00:00:00,223.72,228.83,220.39,224.56,106386.67660747,CDLDOJI,Neutral
