Time,Open,High,Low,Close,Volume,candlestick_pattern,candlestick_pattern_type
2020-01-01 00:00:00,0.1923,0.1949,0.1908,0.1925,12348703.0,NO_PATTERN,NO_PATTERN
2020-01-02 00:00:00,0.1922,0.1925,0.1846,0.1872,18801085.0,NO_PATTERN,NO_PATTERN
2020-01-03 00:00:00,0.187,0.1938,0.1842,0.1931,25763348.0,CDLENGULFING,Bullish
2020-01-04 00:00:00,0.1931,0.1936,0.191,0.193,9746538.0,NO_PATTERN,NO_PATTERN
2020-01-05 00:00:00,0.1929,0.1974,0.1929,0.1946,12784939.0,CDLENGULFING,Bullish
2020-01-06 00:00:00,0.1946,0.2239999999999999,0.1942,0.2234,57129672.0,NO_PATTERN,NO_PATTERN
2020-01-07 00:00:00,0.2234,0.2257,0.207,0.2137,47025334.0,NO_PATTERN,NO_PATTERN
2020-01-08 00:00:00,0.2138,0.2187,0.2028,0.2073,44596881.0,NO_PATTERN,NO_PATTERN
2020-01-09 00:00:00,0.2074,0.2087,0.201,0.2036,27315461.0,NO_PATTERN,NO_PATTERN
2020-01-10 00:00:00,0.2038,0.213,0.2,0.213,33667402.0,NO_PATTERN,NO_PATTERN
2020-01-11 00:00:00,0.213,0.2199,0.2084,0.2119,30853540.0,CDLDOJI,Neutral
2020-01-12 00:00:00,0.2119,0.217,0.21,0.2154,18393811.0,NO_PATTERN,NO_PATTERN
2020-01-13 00:00:00,0.2155,0.2158,0.2096,0.2116,19287862.0,CDLENGULFING,Bearish
2020-01-14 00:00:00,0.2115,0.2462,0.2115,0.235,90661132.0,CDLENGULFING,Bullish
2020-01-15 00:00:00,0.2349,0.2437,0.226,0.2335,60014459.0,CDLHARAMI,Bear
2020-01-16 00:00:00,0.2335,0.2348,0.2211,0.2287,46088290.0,CDLHAMMER,Neutral
2020-01-17 00:00:00,0.2288,0.2442,0.2264,0.2386,63164517.0,NO_PATTERN,NO_PATTERN
2020-01-18 00:00:00,0.2388,0.2559,0.2314,0.2433,53589073.0,NO_PATTERN,NO_PATTERN
2020-01-19 00:00:00,0.2434,0.2517,0.2268,0.2356,44820557.0,CDLEVENINGSTAR,Neutral
2020-01-20 00:00:00,0.2357,0.2363,0.2235,0.2328,32836231.0,NO_PATTERN,NO_PATTERN
2020-01-21 00:00:00,0.2328,0.2416,0.2294,0.2369,30997261.0,NO_PATTERN,NO_PATTERN
2020-01-22 00:00:00,0.2371,0.2395,0.2319,0.2368,19242407.0,CDLDOJI,Neutral
2020-01-23 00:00:00,0.2368,0.2368,0.2204,0.2254,33132971.0,NO_PATTERN,NO_PATTERN
2020-01-24 00:00:00,0.2254,0.2258,0.213,0.2221,38474578.0,CDLHAMMER,Neutral
2020-01-25 00:00:00,0.2219,0.2223,0.216,0.2191,15914884.0,NO_PATTERN,NO_PATTERN
2020-01-26 00:00:00,0.2188,0.2319,0.2177,0.2307,17669447.0,CDLENGULFING,Bullish
2020-01-27 00:00:00,0.231,0.2335,0.2259,0.2304,23988337.0,CDLDOJI,Neutral
2020-01-28 00:00:00,0.2306,0.2411,0.2304,0.2399,32122590.0,NO_PATTERN,NO_PATTERN
2020-01-29 00:00:00,0.2394,0.2418,0.2337,0.2351,32989591.0,CDLHARAMI,Bearish
2020-01-30 00:00:00,0.2351,0.2468,0.23,0.2435,40813170.0,NO_PATTERN,NO_PATTERN
2020-01-31 00:00:00,0.2436,0.245,0.233,0.2393,29825598.0,NO_PATTERN,NO_PATTERN
2020-02-01 00:00:00,0.2393,0.2428,0.2367,0.2413,26904882.0,NO_PATTERN,NO_PATTERN
2020-02-02 00:00:00,0.2412,0.2619,0.2354,0.2505,55230715.0,NO_PATTERN,NO_PATTERN
2020-02-03 00:00:00,0.2507,0.26,0.2467,0.2544,43088651.0,NO_PATTERN,NO_PATTERN
2020-02-04 00:00:00,0.2543,0.27,0.2472,0.266,74330581.0,NO_PATTERN,NO_PATTERN
2020-02-05 00:00:00,0.266,0.2817,0.266,0.278,95323137.0,NO_PATTERN,NO_PATTERN
2020-02-06 00:00:00,0.278,0.288,0.2692,0.283,68020882.0,NO_PATTERN,NO_PATTERN
2020-02-07 00:00:00,0.283,0.2884,0.2773,0.2795,43968255.0,NO_PATTERN,NO_PATTERN
2020-02-08 00:00:00,0.2793,0.2819,0.2632,0.2778,51301917.0,CDLDOJI,Neutral
2020-02-09 00:00:00,0.2777,0.2898,0.2761,0.283,42610576.0,CDLENGULFING,Bullish
2020-02-10 00:00:00,0.283,0.2837,0.2674,0.2735,40286607.0,NO_PATTERN,NO_PATTERN
2020-02-11 00:00:00,0.2735,0.2845,0.267,0.2824,53632604.0,NO_PATTERN,NO_PATTERN
2020-02-12 00:00:00,0.2823,0.31,0.2821,0.3051,102449550.0,NO_PATTERN,NO_PATTERN
2020-02-13 00:00:00,0.305,0.34,0.3,0.3274,173730644.0,NO_PATTERN,NO_PATTERN
2020-02-14 00:00:00,0.3271,0.34,0.3107,0.3369,89651100.0,NO_PATTERN,NO_PATTERN
2020-02-15 00:00:00,0.3367,0.3478,0.2936,0.3074,109436245.0,NO_PATTERN,NO_PATTERN
2020-02-16 00:00:00,0.3072,0.3193,0.2651,0.293,100159143.0,NO_PATTERN,NO_PATTERN
2020-02-17 00:00:00,0.2925,0.2953,0.2689999999999999,0.2875,77430054.0,NO_PATTERN,NO_PATTERN
2020-02-18 00:00:00,0.2879,0.3034,0.2756,0.299,63222288.0,NO_PATTERN,NO_PATTERN
2020-02-19 00:00:00,0.2992,0.3092,0.268,0.2746,70024786.0,CDLENGULFING,Bearish
2020-02-20 00:00:00,0.2747,0.2819,0.26,0.2713,68282595.0,NO_PATTERN,NO_PATTERN
2020-02-21 00:00:00,0.2713,0.2798,0.2682,0.2749,40587375.0,NO_PATTERN,NO_PATTERN
2020-02-22 00:00:00,0.2746,0.2789,0.2704,0.2752,24319116.0,CDLDOJI,Neutral
2020-02-23 00:00:00,0.2752,0.2855,0.2751,0.2839,28018460.0,NO_PATTERN,NO_PATTERN
2020-02-24 00:00:00,0.284,0.2851,0.2636,0.2707,43538672.0,CDL3LINESTRIKE,Bull
2020-02-25 00:00:00,0.2705,0.2711,0.2506,0.2519,56328962.0,NO_PATTERN,NO_PATTERN
2020-02-26 00:00:00,0.2518,0.255,0.2221,0.2289999999999999,107906888.0,NO_PATTERN,NO_PATTERN
2020-02-27 00:00:00,0.2289999999999999,0.248,0.2228,0.2384,72206196.0,NO_PATTERN,NO_PATTERN
2020-02-28 00:00:00,0.2383,0.244,0.2281,0.2369,49418167.0,CDLDOJI,Neutral
2020-02-29 00:00:00,0.2369,0.2427,0.2285,0.2288,30994038.0,NO_PATTERN,NO_PATTERN
2020-03-01 00:00:00,0.2288,0.2362,0.2238,0.2269,46758450.0,NO_PATTERN,NO_PATTERN
2020-03-02 00:00:00,0.2269999999999999,0.2416,0.2256,0.2398,39603219.0,NO_PATTERN,NO_PATTERN
2020-03-03 00:00:00,0.2398,0.2398,0.2295,0.2342,30535286.0,NO_PATTERN,NO_PATTERN
2020-03-04 00:00:00,0.2344,0.2384,0.23,0.2348,31988200.0,CDLDOJI,Neutral
2020-03-05 00:00:00,0.2347,0.2435,0.2346,0.2395,40863661.0,NO_PATTERN,NO_PATTERN
2020-03-06 00:00:00,0.2396,0.2465,0.2384,0.2454,31374181.0,NO_PATTERN,NO_PATTERN
2020-03-07 00:00:00,0.2454,0.2458,0.2349,0.2368,25627397.0,NO_PATTERN,NO_PATTERN
2020-03-08 00:00:00,0.2367,0.2367,0.2007,0.2039,77864390.0,NO_PATTERN,NO_PATTERN
2020-03-09 00:00:00,0.2039,0.2117,0.198,0.2095,78184911.0,NO_PATTERN,NO_PATTERN
2020-03-10 00:00:00,0.2096,0.2163,0.205,0.2117,45842260.0,NO_PATTERN,NO_PATTERN
2020-03-11 00:00:00,0.2117,0.2138,0.1992,0.2083,41659004.0,NO_PATTERN,NO_PATTERN
2020-03-12 00:00:00,0.2084,0.21,0.1287,0.1388,261272241.0,NO_PATTERN,NO_PATTERN
2020-03-13 00:00:00,0.1393,0.1708,0.1105,0.1605,248693484.0,NO_PATTERN,NO_PATTERN
2020-03-14 00:00:00,0.1601,0.1619,0.1431,0.1456,65513403.0,CDLHARAMI,Bearish
2020-03-15 00:00:00,0.1455,0.1654,0.1438,0.1528,74473618.0,NO_PATTERN,NO_PATTERN
2020-03-16 00:00:00,0.1528,0.1529,0.127,0.1414,159849724.0,CDLHAMMER,Neutral
2020-03-17 00:00:00,0.1415,0.1527,0.1399,0.1477,91799251.0,NO_PATTERN,NO_PATTERN
2020-03-18 00:00:00,0.1475,0.1498,0.1403,0.1482,66415301.0,CDLHAMMER,Neutral
2020-03-19 00:00:00,0.1481,0.1734,0.1447,0.1652,130096205.0,NO_PATTERN,NO_PATTERN
2020-03-20 00:00:00,0.1651,0.176,0.145,0.157,138477288.0,CDLHARAMI,Bearish
2020-03-21 00:00:00,0.1571,0.1622,0.1516,0.1581,51026003.0,CDLDOJI,Neutral
2020-03-22 00:00:00,0.1581,0.1618,0.1463,0.1479,53684084.0,NO_PATTERN,NO_PATTERN
2020-03-23 00:00:00,0.1479,0.1625,0.1449,0.1592,64318672.0,NO_PATTERN,NO_PATTERN
2020-03-24 00:00:00,0.1591,0.1644,0.1577,0.1628,76905843.0,NO_PATTERN,NO_PATTERN
2020-03-25 00:00:00,0.1628,0.1659,0.1573,0.1621,62489112.0,CDLDOJI,Neutral
2020-03-26 00:00:00,0.162,0.179,0.16,0.1767,82671964.0,CDLENGULFING,Bullish
2020-03-27 00:00:00,0.1767,0.1879,0.1699,0.1728,110089391.0,NO_PATTERN,NO_PATTERN
2020-03-28 00:00:00,0.1728,0.1806,0.1651,0.1758,92817854.0,NO_PATTERN,NO_PATTERN
2020-03-29 00:00:00,0.1757,0.177,0.1614,0.1627,66802773.0,NO_PATTERN,NO_PATTERN
2020-03-30 00:00:00,0.1627,0.1759,0.1625,0.1714,58246317.0,NO_PATTERN,NO_PATTERN
2020-03-31 00:00:00,0.1715,0.1785,0.1706,0.1739,48598384.0,CDLSHOOTINGSTAR,Neutral
2020-04-01 00:00:00,0.1739,0.177,0.1679,0.1756,53006568.0,NO_PATTERN,NO_PATTERN
2020-04-02 00:00:00,0.1756,0.1873,0.1746,0.1787,60008132.0,NO_PATTERN,NO_PATTERN
2020-04-03 00:00:00,0.1787,0.1832,0.176,0.1797,39295181.0,CDLDOJI,Neutral
2020-04-04 00:00:00,0.1797,0.1843,0.1777,0.1815,43953195.0,NO_PATTERN,NO_PATTERN
2020-04-05 00:00:00,0.1816,0.1826,0.1764,0.1796,26473744.0,CDLHAMMER,Neutral
2020-04-06 00:00:00,0.1796,0.1987,0.1795,0.1984,80352222.0,NO_PATTERN,NO_PATTERN
2020-04-07 00:00:00,0.1985,0.206,0.1896,0.193,92337229.0,NO_PATTERN,NO_PATTERN
2020-04-08 00:00:00,0.1929,0.2032,0.1915,0.2023,55820413.0,CDLENGULFING,Bullish
2020-04-09 00:00:00,0.2022,0.2026,0.1926,0.1984,50595075.0,CDLHARAMI,Bearish
2020-04-10 00:00:00,0.1984,0.1989,0.1816,0.1879,69469120.0,NO_PATTERN,NO_PATTERN
2020-04-11 00:00:00,0.1879,0.1926,0.1852,0.1889999999999999,33427180.0,CDLDOJI,Neutral
2020-04-12 00:00:00,0.1889,0.1965,0.1864,0.1896,44621169.0,CDLDOJI,Neutral
2020-04-13 00:00:00,0.1894,0.19,0.1791,0.1883,51014805.0,CDLHAMMER,Neutral
2020-04-14 00:00:00,0.1883,0.1896,0.1838,0.1865,33129102.0,NO_PATTERN,NO_PATTERN
2020-04-15 00:00:00,0.1863,0.1902,0.1801,0.1807,49939590.0,NO_PATTERN,NO_PATTERN
2020-04-16 00:00:00,0.1807,0.1937,0.1738,0.1908,76255602.0,NO_PATTERN,NO_PATTERN
2020-04-17 00:00:00,0.1907,0.192,0.1864,0.1888,38752635.0,CDLHARAMI,Bearish
2020-04-18 00:00:00,0.1888,0.1975,0.1885,0.1958,40818934.0,NO_PATTERN,NO_PATTERN
2020-04-19 00:00:00,0.1957,0.1966,0.1881,0.1894,31406739.0,NO_PATTERN,NO_PATTERN
2020-04-20 00:00:00,0.1894,0.195,0.1783,0.1819,63615043.0,NO_PATTERN,NO_PATTERN
2020-04-21 00:00:00,0.1818,0.1868,0.1814,0.1838,40897028.0,NO_PATTERN,NO_PATTERN
2020-04-22 00:00:00,0.1837,0.19,0.1823,0.1884,32031334.0,NO_PATTERN,NO_PATTERN
2020-04-23 00:00:00,0.1883,0.2,0.1858,0.1928,65849141.0,NO_PATTERN,NO_PATTERN
2020-04-24 00:00:00,0.1928,0.1971,0.1922,0.1936,42932429.0,CDLGRAVESTONEDOJI,Neutral
2020-04-25 00:00:00,0.1935,0.1984,0.1918,0.1945,34899324.0,CDLDOJI,Neutral
2020-04-26 00:00:00,0.1945,0.198,0.1922,0.1966,32868525.0,NO_PATTERN,NO_PATTERN
2020-04-27 00:00:00,0.1966,0.2,0.1945,0.198,42213027.0,NO_PATTERN,NO_PATTERN
2020-04-28 00:00:00,0.198,0.2188,0.1949,0.2147,94272399.0,NO_PATTERN,NO_PATTERN
2020-04-29 00:00:00,0.2147,0.2318,0.2141,0.2269,119477349.0,NO_PATTERN,NO_PATTERN
2020-04-30 00:00:00,0.2269,0.2361,0.2081,0.2115,114616640.0,NO_PATTERN,NO_PATTERN
2020-05-01 00:00:00,0.2115,0.2244,0.2113,0.218,60763131.0,NO_PATTERN,NO_PATTERN
2020-05-02 00:00:00,0.2181,0.226,0.2155,0.2241,46345765.0,NO_PATTERN,NO_PATTERN
2020-05-03 00:00:00,0.2239999999999999,0.2269,0.2155,0.2195,38751315.0,NO_PATTERN,NO_PATTERN
2020-05-04 00:00:00,0.2195,0.221,0.2074,0.2184,50767736.0,CDLDOJI,Neutral
2020-05-05 00:00:00,0.2181,0.2225,0.2134,0.2172,38353751.0,CDLDOJI,Neutral
2020-05-06 00:00:00,0.2172,0.2228,0.2105,0.2121,44338327.0,NO_PATTERN,NO_PATTERN
2020-05-07 00:00:00,0.2121,0.2222,0.2086,0.2189,65592610.0,NO_PATTERN,NO_PATTERN
2020-05-08 00:00:00,0.2189999999999999,0.2225,0.2145,0.2189,69325309.0,CDLDOJI,Neutral
2020-05-09 00:00:00,0.2189999999999999,0.2252,0.2157,0.2165,57087452.0,NO_PATTERN,NO_PATTERN
2020-05-10 00:00:00,0.2163,0.2163,0.1802,0.1973,111466943.0,NO_PATTERN,NO_PATTERN
2020-05-11 00:00:00,0.1972,0.2005,0.1842,0.1928,72094479.0,NO_PATTERN,NO_PATTERN
2020-05-12 00:00:00,0.1929,0.2001,0.1914,0.1974,41662423.0,NO_PATTERN,NO_PATTERN
2020-05-13 00:00:00,0.1973,0.2044,0.1959,0.2023,39050692.0,NO_PATTERN,NO_PATTERN
2020-05-14 00:00:00,0.2021,0.2065,0.1984,0.204,42163056.0,NO_PATTERN,NO_PATTERN
2020-05-15 00:00:00,0.204,0.2048,0.1948,0.1981,44030530.0,NO_PATTERN,NO_PATTERN
2020-05-16 00:00:00,0.1981,0.2023,0.1966,0.1998,28594534.0,NO_PATTERN,NO_PATTERN
2020-05-17 00:00:00,0.1995,0.205,0.1989,0.2014,26110840.0,NO_PATTERN,NO_PATTERN
2020-05-18 00:00:00,0.2014,0.2087,0.2011,0.2054,39909645.0,NO_PATTERN,NO_PATTERN
2020-05-19 00:00:00,0.2053,0.2066,0.2007,0.205,33784963.0,CDLDOJI,Neutral
2020-05-20 00:00:00,0.205,0.2061,0.1965,0.2017,41427772.0,CDLHAMMER,Neutral
2020-05-21 00:00:00,0.2016,0.2031,0.1889,0.1942,49612284.0,NO_PATTERN,NO_PATTERN
2020-05-22 00:00:00,0.1941,0.2025,0.1918,0.2003,48240876.0,NO_PATTERN,NO_PATTERN
2020-05-23 00:00:00,0.2004,0.2024,0.198,0.1989999999999999,29607481.0,NO_PATTERN,NO_PATTERN
